"","svspp","NOAA_label","validated_species","genus","subfamily","family","order","class","super_class"
"1",1,"Myxine glutinosa","Myxine glutinosa","Myxine","Myxininae","Myxinidae","Myxiniformes","Myxini","Agnatha"
"2",2,"Petromyzon marinus","Petromyzon marinus","Petromyzon","Petromyzontinae","Petromyzontidae","Petromyzontiformes","Petromyzonti","Agnatha"
"3",3,"Carcharhinus obscurus","Carcharhinus obscurus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"4",4,"Dasyatis centroura","Bathytoshia centroura","Bathytoshia","Dasyatinae","Dasyatidae","Myliobatiformes","Elasmobranchii","Chondrichthyes"
"5",6,"Cetorhinus maximus","Cetorhinus maximus","Cetorhinus",NA,"Cetorhinidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"6",7,"Centroscyllium fabricii","Centroscyllium fabricii","Centroscyllium",NA,"Etmopteridae","Squaliformes","Elasmobranchii","Chondrichthyes"
"7",8,"Etmopterus princeps","Etmopterus princeps","Etmopterus",NA,"Etmopteridae","Squaliformes","Elasmobranchii","Chondrichthyes"
"8",9,"Carcharhinus plumbeus","Carcharhinus plumbeus","Carcharhinus",NA,"Carcharhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"9",12,"Carcharias taurus","Carcharias taurus","Carcharias",NA,"Carchariidae","Lamniformes","Elasmobranchii","Chondrichthyes"
"10",13,"Mustelus canis","Mustelus canis","Mustelus","Triakinae","Triakidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"11",14,"Scyliorhinus retifer","Scyliorhinus retifer","Scyliorhinus","Scyliorhininae","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"12",15,"Squalus acanthias","Squalus acanthias","Squalus",NA,"Squalidae","Squaliformes","Elasmobranchii","Chondrichthyes"
"13",16,"Squatina dumeril","Squatina dumeril","Squatina",NA,"Squatinidae","Squatiniformes","Elasmobranchii","Chondrichthyes"
"14",18,"Dasyatis say","Hypanus say","Hypanus","Dasyatinae","Dasyatidae","Myliobatiformes","Elasmobranchii","Chondrichthyes"
"15",19,"Myliobatis freminvillei","Myliobatis freminvillei","Myliobatis",NA,"Myliobatidae","Myliobatiformes","Elasmobranchii","Chondrichthyes"
"16",21,"Torpedo nobiliana","Tetronarce nobiliana","Tetronarce",NA,"Torpedinidae","Torpediniformes","Elasmobranchii","Chondrichthyes"
"17",22,"Dipturus laevis","Dipturus laevis","Dipturus",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"18",23,"Leucoraja ocellata","Leucoraja ocellata","Leucoraja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"19",24,"Raja eglanteria","Rostroraja eglanteria","Rostroraja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"20",25,"Leucoraja garmani","Leucoraja garmani","Leucoraja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"21",26,"Leucoraja erinacea","Leucoraja erinaceus","Leucoraja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"22",27,"Malacoraja senta","Malacoraja senta","Malacoraja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"23",28,"Amblyraja radiata","Amblyraja radiata","Amblyraja",NA,"Rajidae","Rajiformes","Elasmobranchii","Chondrichthyes"
"24",29,"Dasyatis americana","Hypanus americanus","Hypanus","Dasyatinae","Dasyatidae","Myliobatiformes","Elasmobranchii","Chondrichthyes"
"25",31,"Etrumeus teres","Etrumeus sadina","Etrumeus",NA,"Dussumieriidae","Clupeiformes","Teleostei","Osteichthyes"
"26",32,"Clupea harengus","Clupea harengus","Clupea",NA,"Clupeidae","Clupeiformes","Teleostei","Osteichthyes"
"27",33,"Alosa pseudoharengus","Alosa pseudoharengus","Alosa",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"28",34,"Alosa aestivalis","Alosa aestivalis","Alosa",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"29",35,"Alosa sapidissima","Alosa sapidissima","Alosa",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"30",36,"Brevoortia tyrannus","Brevoortia tyrannus","Brevoortia",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"31",37,"Alosa mediocris","Alosa mediocris","Alosa",NA,"Alosidae","Clupeiformes","Teleostei","Osteichthyes"
"32",38,"Mallotus villosus","Mallotus villosus","Mallotus",NA,"Osmeridae","Osmeriformes","Teleostei","Osteichthyes"
"33",43,"Anchoa mitchilli","Anchoa mitchilli","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"34",44,"Anchoa hepsetus","Anchoa hepsetus","Anchoa","Engraulinae","Engraulidae","Clupeiformes","Teleostei","Osteichthyes"
"35",45,"Osmerus mordax","Osmerus mordax","Osmerus",NA,"Osmeridae","Osmeriformes","Teleostei","Osteichthyes"
"36",46,"Argentina silus","Argentina silus","Argentina",NA,"Argentinidae","Argentiniformes","Teleostei","Osteichthyes"
"37",53,"Myctophum humboldti","Myctophum punctatum","Myctophum","Myctophinae","Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"38",54,"Ceratoscopelus maderensis","Ceratoscopelus maderensis","Ceratoscopelus","Lampanyctinae","Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"39",57,"Hygophum taaningi","Hygophum taaningi","Hygophum","Myctophinae","Myctophidae","Myctophiformes","Teleostei","Osteichthyes"
"40",63,"Conger oceanicus","Conger oceanicus","Conger","Congrinae","Congridae","Anguilliformes","Teleostei","Osteichthyes"
"41",64,"Simenchelys parasiticus","Simenchelys parasitica","Simenchelys","Simenchelyinae","Synaphobranchidae","Anguilliformes","Teleostei","Osteichthyes"
"42",65,"Ophichthus cruentifer","Ophichthus cruentifer","Ophichthus","Ophichthinae","Ophichthidae","Anguilliformes","Teleostei","Osteichthyes"
"43",66,"Hyporhamphus unifasciatus","Hyporhamphus unifasciatus","Hyporhamphus",NA,"Hemiramphidae","Beloniformes","Teleostei","Osteichthyes"
"44",67,"Nemichthys scolopaceus","Nemichthys scolopaceus","Nemichthys",NA,"Nemichthyidae","Anguilliformes","Teleostei","Osteichthyes"
"45",68,"Ablennes hians","Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes","Teleostei","Osteichthyes"
"46",69,"Merluccius albidus","Merluccius albidus","Merluccius",NA,"Merlucciidae","Gadiformes","Teleostei","Osteichthyes"
"47",70,"Gadella imberbis","Gadella imberbis","Gadella",NA,"Moridae","Gadiformes","Teleostei","Osteichthyes"
"48",72,"Merluccius bilinearis","Merluccius bilinearis","Merluccius",NA,"Merlucciidae","Gadiformes","Teleostei","Osteichthyes"
"49",73,"Gadus morhua","Gadus morhua","Gadus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"50",74,"Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"51",75,"Pollachius virens","Pollachius virens","Pollachius",NA,"Gadidae","Gadiformes","Teleostei","Osteichthyes"
"52",76,"Urophycis tenuis","Urophycis tenuis","Urophycis",NA,"Phycidae","Gadiformes","Teleostei","Osteichthyes"
"53",77,"Urophycis chuss","Urophycis chuss","Urophycis",NA,"Phycidae","Gadiformes","Teleostei","Osteichthyes"
"54",78,"Urophycis regia","Urophycis regia","Urophycis",NA,"Phycidae","Gadiformes","Teleostei","Osteichthyes"
"55",79,"Urophycis chesteri","Phycis chesteri","Phycis",NA,"Phycidae","Gadiformes","Teleostei","Osteichthyes"
"56",81,"Antimora rostrata","Antimora rostrata","Antimora",NA,"Moridae","Gadiformes","Teleostei","Osteichthyes"
"57",82,"Physiculus fulvus","Physiculus fulvus","Physiculus",NA,"Moridae","Gadiformes","Teleostei","Osteichthyes"
"58",83,"Enchelyopus cimbrius","Enchelyopus cimbrius","Enchelyopus",NA,"Gaidropsaridae","Gadiformes","Teleostei","Osteichthyes"
"59",84,"Brosme brosme","Brosme brosme","Brosme",NA,"Lotidae","Gadiformes","Teleostei","Osteichthyes"
"60",85,"Gaidropsarus ensis","Gaidropsarus ensis","Gaidropsarus",NA,"Gaidropsaridae","Gadiformes","Teleostei","Osteichthyes"
"61",91,"Nezumia bairdi","Nezumia bairdii","Nezumia",NA,"Macrouridae","Gadiformes","Teleostei","Osteichthyes"
"62",92,"Macrourus berglax","Macrourus berglax","Macrourus",NA,"Macrouridae","Gadiformes","Teleostei","Osteichthyes"
"63",93,"Coelorhynchus carminatus","Coelorinchus caelorhincus","Coelorinchus",NA,"Macrouridae","Gadiformes","Teleostei","Osteichthyes"
"64",98,"Poecilopsetta beani","Poecilopsetta beanii","Poecilopsetta",NA,"Poecilopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"65",99,"Reinhardtius hippoglossoides","Reinhardtius hippoglossoides","Reinhardtius","Hippoglossinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"66",101,"Hippoglossus hippoglossus","Hippoglossus hippoglossus","Hippoglossus","Hippoglossinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"67",102,"Hippoglossoides platessoides","Hippoglossoides platessoides","Hippoglossoides","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"68",103,"Paralichthys dentatus","Paralichthys dentatus","Paralichthys",NA,"Paralichthyidae","Pleuronectiformes","Teleostei","Osteichthyes"
"69",104,"Paralichthys oblongus","Hippoglossina oblonga","Hippoglossina",NA,"Paralichthyidae","Pleuronectiformes","Teleostei","Osteichthyes"
"70",105,"Limanda ferruginea","Myzopsetta ferruginea","Myzopsetta","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"71",106,"Pseudopleuronectes americanus","Pseudopleuronectes americanus","Pseudopleuronectes","Pleuronectinae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"72",107,"Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Glyptocephalus","Microstominae","Pleuronectidae","Pleuronectiformes","Teleostei","Osteichthyes"
"73",108,"Scophthalmus aquosus","Scophthalmus aquosus","Scophthalmus",NA,"Scophthalmidae","Pleuronectiformes","Teleostei","Osteichthyes"
"74",109,"Citharichthys arctifrons","Citharichthys arctifrons","Citharichthys",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"75",110,"Monolene sessilicauda","Monolene sessilicauda","Monolene",NA,"Bothidae","Pleuronectiformes","Teleostei","Osteichthyes"
"76",111,"Macrorhamphosus scolopax","Macroramphosus scolopax","Macroramphosus","Macroramphosinae","Centriscidae","Syngnathiformes","Teleostei","Osteichthyes"
"77",112,"Zenopsis conchifera","Zenopsis conchifer","Zenopsis",NA,"Zeidae","Zeiformes","Teleostei","Osteichthyes"
"78",113,"Menidia menidia","Menidia menidia","Menidia","Menidiinae","Atherinopsidae","Atheriniformes","Teleostei","Osteichthyes"
"79",114,"Synagrops bellus","Synagrops bellus","Synagrops",NA,"Synagropidae","Acropomatiformes","Teleostei","Osteichthyes"
"80",115,"Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus",NA,"Gasterosteidae","Perciformes/Gasterosteoidei","Teleostei","Osteichthyes"
"81",116,"Syngnathus fuscus","Syngnathus fuscus","Syngnathus","Syngnathinae","Syngnathidae","Syngnathiformes","Teleostei","Osteichthyes"
"82",117,"Etropus microstomus","Etropus microstomus","Etropus",NA,"Cyclopsettidae","Pleuronectiformes","Teleostei","Osteichthyes"
"83",118,"Trinectes maculatus","Trinectes maculatus","Trinectes",NA,"Achiridae","Pleuronectiformes","Teleostei","Osteichthyes"
"84",120,"Fistularia tabacaria","Fistularia tabacaria","Fistularia",NA,"Fistulariidae","Syngnathiformes","Teleostei","Osteichthyes"
"85",121,"Scomber scombrus","Scomber scombrus","Scomber","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"86",123,"Sarda sarda","Sarda sarda","Sarda","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"87",124,"Scomber japonicus","Scomber japonicus","Scomber","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes"
"88",126,"Trichiurus lepturus","Trichiurus lepturus","Trichiurus","Trichiurinae","Trichiuridae","Scombriformes","Teleostei","Osteichthyes"
