year,spectra_area,driver_area,decade,ISD Exponent,metric,value
1954,Georges Bank,Georges Bank,1950,NA,SST,NA
1954,Georges Bank,Georges Bank,1950,NA,Commercial Landings,NA
1954,Georges Bank,Georges Bank,1950,NA,Spectra Slope,NA
1954,Georges Bank,Georges Bank,1950,NA,GSI,0.934094217
1954,Georges Bank,Georges Bank,1950,NA,zp_small,NA
1954,Georges Bank,Georges Bank,1950,NA,zp_large,NA
1954,Gulf of Maine,Gulf of Maine,1950,NA,SST,NA
1954,Gulf of Maine,Gulf of Maine,1950,NA,Commercial Landings,NA
1954,Gulf of Maine,Gulf of Maine,1950,NA,Spectra Slope,NA
1954,Gulf of Maine,Gulf of Maine,1950,NA,GSI,0.934094217
1954,Gulf of Maine,Gulf of Maine,1950,NA,zp_small,NA
1954,Gulf of Maine,Gulf of Maine,1950,NA,zp_large,NA
1954,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,SST,NA
1954,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Commercial Landings,NA
1954,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Spectra Slope,NA
1954,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,GSI,0.934094217
1954,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_small,NA
1954,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_large,NA
1954,Southern New England,Southern New England,1950,NA,SST,NA
1954,Southern New England,Southern New England,1950,NA,Commercial Landings,NA
1954,Southern New England,Southern New England,1950,NA,Spectra Slope,NA
1954,Southern New England,Southern New England,1950,NA,GSI,0.934094217
1954,Southern New England,Southern New England,1950,NA,zp_small,NA
1954,Southern New England,Southern New England,1950,NA,zp_large,NA
1955,Georges Bank,Georges Bank,1950,NA,SST,NA
1955,Georges Bank,Georges Bank,1950,NA,Commercial Landings,NA
1955,Georges Bank,Georges Bank,1950,NA,Spectra Slope,NA
1955,Georges Bank,Georges Bank,1950,NA,GSI,-0.275659498
1955,Georges Bank,Georges Bank,1950,NA,zp_small,NA
1955,Georges Bank,Georges Bank,1950,NA,zp_large,NA
1955,Gulf of Maine,Gulf of Maine,1950,NA,SST,NA
1955,Gulf of Maine,Gulf of Maine,1950,NA,Commercial Landings,NA
1955,Gulf of Maine,Gulf of Maine,1950,NA,Spectra Slope,NA
1955,Gulf of Maine,Gulf of Maine,1950,NA,GSI,-0.275659498
1955,Gulf of Maine,Gulf of Maine,1950,NA,zp_small,NA
1955,Gulf of Maine,Gulf of Maine,1950,NA,zp_large,NA
1955,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,SST,NA
1955,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Commercial Landings,NA
1955,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Spectra Slope,NA
1955,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,GSI,-0.275659498
1955,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_small,NA
1955,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_large,NA
1955,Southern New England,Southern New England,1950,NA,SST,NA
1955,Southern New England,Southern New England,1950,NA,Commercial Landings,NA
1955,Southern New England,Southern New England,1950,NA,Spectra Slope,NA
1955,Southern New England,Southern New England,1950,NA,GSI,-0.275659498
1955,Southern New England,Southern New England,1950,NA,zp_small,NA
1955,Southern New England,Southern New England,1950,NA,zp_large,NA
1956,Georges Bank,Georges Bank,1950,NA,SST,NA
1956,Georges Bank,Georges Bank,1950,NA,Commercial Landings,NA
1956,Georges Bank,Georges Bank,1950,NA,Spectra Slope,NA
1956,Georges Bank,Georges Bank,1950,NA,GSI,-0.41322822
1956,Georges Bank,Georges Bank,1950,NA,zp_small,NA
1956,Georges Bank,Georges Bank,1950,NA,zp_large,NA
1956,Gulf of Maine,Gulf of Maine,1950,NA,SST,NA
1956,Gulf of Maine,Gulf of Maine,1950,NA,Commercial Landings,NA
1956,Gulf of Maine,Gulf of Maine,1950,NA,Spectra Slope,NA
1956,Gulf of Maine,Gulf of Maine,1950,NA,GSI,-0.41322822
1956,Gulf of Maine,Gulf of Maine,1950,NA,zp_small,NA
1956,Gulf of Maine,Gulf of Maine,1950,NA,zp_large,NA
1956,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,SST,NA
1956,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Commercial Landings,NA
1956,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,Spectra Slope,NA
1956,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,GSI,-0.41322822
1956,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_small,NA
1956,Mid-Atlantic Bight,Mid-Atlantic Bight,1950,NA,zp_large,NA
1956,Southern New England,Southern New England,1950,NA,SST,NA
1956,Southern New England,Southern New England,1950,NA,Commercial Landings,NA
1956,Southern New England,Southern New England,1950,NA,Spectra Slope,NA
1956,Southern New England,Southern New England,1950,NA,GSI,-0.41322822
1956,Southern New England,Southern New England,1950,NA,zp_small,NA
1956,Southern New England,Southern New England,1950,NA,zp_large,NA
1957,Georges Bank,Georges Bank,1950,NA,SST,NA
1957,Georges Bank,Georges Bank,1950,NA,Commercial Landings,NA
1957,Georges Bank,Georges Bank,1950,NA,Spectra Slope,NA
1957,Georges Bank,Georges Bank,1950,NA,GSI,-0.02182621
1957,Georges Bank,Georges Bank,1950,NA,zp_small,NA
1957,Georges Bank,Georges Bank,1950,NA,zp_large,NA
