YEAR,STAT AREA,SPPNAME,LANDED LBS,LIVE LBS,VALUE
1964,340,"HALIBUT, ATLANTIC",645.00,742.00,110.00
1964,340,"REDFISH, ACADIAN",6152200.00,6152200.00,260968.00
1964,340,CONFIDENTIAL,8330.00,8629.00,389.00
1964,350,"REDFISH, ACADIAN",3691180.00,3691180.00,146722.00
1964,350,CONFIDENTIAL,43953.00,54592.00,18326.00
1964,361,"HALIBUT, ATLANTIC",1113.00,1280.00,339.00
1964,361,"REDFISH, ACADIAN",500750.00,500750.00,20589.00
1964,361,CONFIDENTIAL,1070.00,1228.00,60.00
1964,410,"HALIBUT, ATLANTIC",3412.00,3923.00,1077.00
1964,410,"REDFISH, ACADIAN",11703175.00,11703175.00,474396.00
1964,410,CONFIDENTIAL,3767.00,4347.00,226.00
1964,420,"COD, ATLANTIC",810.00,946.00,46.00
1964,420,"HALIBUT, ATLANTIC",4684.00,5386.00,1503.00
1964,420,"REDFISH, ACADIAN",15073642.00,15073642.00,696080.00
1964,420,CONFIDENTIAL,9063.00,9172.00,465.00
1964,430,"REDFISH, ACADIAN",384100.00,384100.00,16071.00
1964,441,"HALIBUT, ATLANTIC",2107.00,2422.00,483.00
1964,441,"REDFISH, ACADIAN",2339843.00,2339843.00,106709.00
1964,441,CONFIDENTIAL,15720.00,16447.00,1006.00
1964,442,"COD, ATLANTIC",3904.00,4568.00,163.00
1964,442,CUSK,250.00,282.00,10.00
1964,442,"FLOUNDER, AMERICAN PLAICE",1007.00,1007.00,55.00
1964,442,"FLOUNDER, WITCH",1722.00,1722.00,104.00
1964,442,"HALIBUT, ATLANTIC",1324.00,1521.00,384.00
1964,442,POLLOCK,830.00,937.00,33.00
1964,442,"REDFISH, ACADIAN",2441189.00,2441189.00,108130.00
1964,442,CONFIDENTIAL,4020.00,4718.00,327.00
1964,443,"COD, ATLANTIC",16785.00,19639.00,1235.00
1964,443,CUSK,430.00,486.00,33.00
1964,443,"FLOUNDER, AMERICAN PLAICE",22555.00,22555.00,1338.00
1964,443,"FLOUNDER, WITCH",214100.00,214100.00,20173.00
1964,443,HADDOCK,18420.00,20998.00,1941.00
1964,443,"HAKE, WHITE",1190.00,1595.00,103.00
1964,443,"HALIBUT, ATLANTIC",4127.00,4744.00,1071.00
1964,443,POLLOCK,5420.00,6123.00,195.00
1964,443,"REDFISH, ACADIAN",11393525.00,11393525.00,501141.00
1964,443,CONFIDENTIAL,660.00,692.00,34.00
1964,451,"REDFISH, ACADIAN",775842.00,775842.00,35171.00
1964,451,CONFIDENTIAL,37258.00,39010.00,2598.00
1964,452,"COD, ATLANTIC",6455.00,7552.00,253.00
1964,452,CUSK,2165.00,2446.00,100.00
1964,452,"FLOUNDER, AMERICAN PLAICE",1088.00,1088.00,41.00
1964,452,"FLOUNDER, WITCH",4700.00,4700.00,270.00
1964,452,HADDOCK,16340.00,18627.00,1224.00
1964,452,POLLOCK,38295.00,43273.00,1840.00
1964,452,"REDFISH, ACADIAN",275610.00,275610.00,10891.00
1964,452,"WOLFFISH, ATLANTIC",140.00,168.00,5.00
1964,452,CONFIDENTIAL,1219.00,1606.00,97.00
1964,454,CONFIDENTIAL,26658.00,26667.00,1243.00
1964,455,"COD, ATLANTIC",14871.00,17397.00,748.00
1964,455,CUSK,5628.00,6358.00,322.00
1964,455,"FLOUNDER, AMERICAN PLAICE",3648.00,3648.00,184.00
1964,455,"FLOUNDER, WITCH",8658.00,8658.00,497.00
1964,455,HADDOCK,19935.00,22725.00,1563.00
1964,455,"HAKE, WHITE",2134.00,2860.00,122.00
1964,455,"HALIBUT, ATLANTIC",2511.00,2887.00,683.00
1964,455,POLLOCK,180125.00,203540.00,7119.00
1964,455,"REDFISH, ACADIAN",2107184.00,2107184.00,86095.00
1964,455,"WOLFFISH, ATLANTIC",1755.00,2106.00,67.00
1964,455,CONFIDENTIAL,1500.00,1500.00,75.00
1964,456,CONFIDENTIAL,150000.00,150000.00,5870.00
1964,457,"COD, ATLANTIC",20615.00,24119.00,932.00
1964,457,CUSK,5157.00,5827.00,262.00
1964,457,"FLOUNDER, AMERICAN PLAICE",3967.00,3967.00,198.00
1964,457,"FLOUNDER, WITCH",3218.00,3218.00,226.00
1964,457,HADDOCK,31522.00,35930.00,2335.00
1964,457,"HAKE, WHITE",5075.00,6798.00,277.00
1964,457,"HALIBUT, ATLANTIC",1507.00,1732.00,495.00
1964,457,POLLOCK,32100.00,36270.00,1498.00
1964,457,"POMPANO, KILLIFISH",5500.00,5500.00,315.00
1964,457,"REDFISH, ACADIAN",3491091.00,3491091.00,140813.00
1964,457,"WOLFFISH, ATLANTIC",1608.00,1930.00,65.00
1964,458,"REDFISH, ACADIAN",344400.00,344400.00,14085.00
1964,458,CONFIDENTIAL,23291.00,26477.00,962.00
